,CorrTime,fltLongitude,fltLatitude,fltSpeed,dtTime,srtAngle,NoOfSat,DoorOpen,IgniStat,ExtBatLevel,IntBatLevel,odo,din3,din4,an1,an2,an3,an4,odometer,zzentrydt,angles,angles_cross,lat_long,distances,deltaT,speed
93,2018-06-19 10:38:47,81.189965,24.493385999999997,0,19-06-2018 05:08,42,,1,1,14366,4003,0,1,1,13892,,300,300,,19-06-2018 05:09,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
94,2018-06-19 10:39:17,81.189965,24.493385999999997,0,19-06-2018 05:09,42,,1,1,14360,4003,0,1,1,13881,,300,300,,19-06-2018 05:10,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
95,2018-06-19 10:39:47,81.189965,24.493385999999997,0,19-06-2018 05:09,42,,1,1,14298,4003,0,1,1,13831,,300,300,,19-06-2018 05:10,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
96,2018-06-19 10:40:17,81.189965,24.493385999999997,0,19-06-2018 05:10,42,,1,1,14288,4003,0,1,1,13830,,300,300,,19-06-2018 05:11,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
97,2018-06-19 10:40:47,81.189965,24.493385999999997,0,19-06-2018 05:10,42,,1,1,14322,4003,0,1,1,13855,,300,300,,19-06-2018 05:11,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
98,2018-06-19 10:41:17,81.189965,24.493385999999997,0,19-06-2018 05:11,42,,1,1,14316,4003,0,1,1,13865,,300,300,,19-06-2018 05:11,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
99,2018-06-19 10:41:47,81.189965,24.493385999999997,0,19-06-2018 05:11,42,,1,1,14359,4003,0,1,1,13889,,300,300,,19-06-2018 05:12,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
100,2018-06-19 10:42:17,81.189965,24.493385999999997,0,19-06-2018 05:12,42,,1,1,14332,4003,0,1,1,13865,,300,300,,19-06-2018 05:12,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
101,2018-06-19 10:42:47,81.189965,24.493385999999997,0,19-06-2018 05:12,42,,1,1,14328,4003,0,1,1,13858,,300,300,,19-06-2018 05:13,,,"24.493385999999997, 81.189965",0.0,0.008333333333333333,0.0
102,2018-06-19 10:43:12,81.190246,24.493560000000002,6,19-06-2018 05:13,66,,1,1,14270,4003,35,1,1,13796,,300,300,,19-06-2018 05:13,15.067254818806601,15.067254818806601,"24.493560000000002, 81.190246",0.03439024785892697,0.006944444444444444,4.952195691685484
103,2018-06-19 10:43:12,81.19026600000001,24.493566,6,19-06-2018 05:13,66,,1,1,14281,4003,2,1,1,13783,,300,300,,19-06-2018 05:13,6.170819041192428,6.170819041192428,"24.493566, 81.19026600000001",0.0021333584654522875,0.0,inf
104,2018-06-19 10:43:43,81.190688,24.493744,4,19-06-2018 05:13,64,,1,1,14282,4003,48,1,1,13813,,300,300,,19-06-2018 05:14,5.726455818818613,5.726455818818613,"24.493744, 81.190688",0.04709919029067244,0.008611111111111111,5.469583388594218
105,2018-06-19 10:44:13,81.190976,24.493901,4,19-06-2018 05:14,56,,1,1,14282,4003,35,1,1,13808,,300,300,,19-06-2018 05:15,30.666549739829975,30.666549739829975,"24.493901, 81.190976",0.03397893030448319,0.008333333333333333,4.077471636537983
